----------------------------
2024-11-06 21:07:49.600,FileLog,Open,sim\logfilesim.J1.2024-11-06.21-07-49.csv
2024-11-06 21:07:49.613,Alliance Selection,SetAlliance,Alliance Chooser,Auto,Alliance,Blue
2024-11-06 21:07:49.614,Alliance Selection,Initialize,DriverStation not present - default to Blue,Blue
2024-11-06 21:07:49.750,Wrist,calibrateThroughBoreEncoder,encoderZero,-0.0,raw encoder,0.0,encoder degrees,0.0
2024-11-06 21:07:50.575,SwerveModule FL,ZeroDriveEncoder,driveEncoderZero,0.0,raw encoder,0.0,encoder meters,0.0
2024-11-06 21:07:50.575,SwerveModule FL,calibrateCanCoder,cancoderZero,-0.0,raw encoder,-90.0,encoder degrees,-90.0
2024-11-06 21:07:50.579,SwerveModule FL,calibrateTurningEncoder,turningEncoderZero,5.357142857142857,raw encoder,0.0,set degrees,-90.0,encoder degrees,-90.0
2024-11-06 21:07:50.991,SwerveModule FR,ZeroDriveEncoder,driveEncoderZero,0.0,raw encoder,0.0,encoder meters,0.0
2024-11-06 21:07:50.991,SwerveModule FR,calibrateCanCoder,cancoderZero,-0.0,raw encoder,-90.0,encoder degrees,-90.0
2024-11-06 21:07:50.991,SwerveModule FR,calibrateTurningEncoder,turningEncoderZero,5.357142857142857,raw encoder,0.0,set degrees,-90.0,encoder degrees,-90.0
2024-11-06 21:07:51.407,SwerveModule BL,ZeroDriveEncoder,driveEncoderZero,0.0,raw encoder,0.0,encoder meters,0.0
2024-11-06 21:07:51.407,SwerveModule BL,calibrateCanCoder,cancoderZero,-0.0,raw encoder,-90.0,encoder degrees,-90.0
2024-11-06 21:07:51.408,SwerveModule BL,calibrateTurningEncoder,turningEncoderZero,5.357142857142857,raw encoder,0.0,set degrees,-90.0,encoder degrees,-90.0
2024-11-06 21:07:51.824,SwerveModule BR,ZeroDriveEncoder,driveEncoderZero,0.0,raw encoder,0.0,encoder meters,0.0
2024-11-06 21:07:51.824,SwerveModule BR,calibrateCanCoder,cancoderZero,-0.0,raw encoder,-90.0,encoder degrees,-90.0
2024-11-06 21:07:51.824,SwerveModule BR,calibrateTurningEncoder,turningEncoderZero,5.357142857142857,raw encoder,0.0,set degrees,-90.0,encoder degrees,-90.0
2024-11-06 21:07:51.954,Drive,Gyro Initialize,Firmware version,0.0
2024-11-06 21:07:52.037,TrajectoryGeneration,Robo Race,maxSpeed,1.71,maxAcceleration,3.6
2024-11-06 21:07:52.094,TrajectoryGeneration,Trajectory,Time,0.0,x,0.0,y,0.0,degrees,0.0,velocityMetersPerSec,0.0
2024-11-06 21:07:52.095,TrajectoryGeneration,Robo Race,SUCCESS,true
2024-11-06 21:07:52.204,Disabled,Robot disabled,
